범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
정보통신망이용촉진 및 정보보호 등에 관한법률,4572,1011,601,920,370,359,152,91,3633,314,364,517,430,426,666,840,193
조세범처벌법,751,205,112,168,73,67,32,13,780,49,79,167,68,92,126,199,17
주민등록법,386,114,118,123,58,40,20,11,442,76,69,49,56,42,57,94,15
주차장법,58,41,3,9,0,5,1,0,15,4,0,2,5,0,4,2,6
주택법,85,55,62,40,25,7,15,7,272,7,17,19,6,5,7,31,2
직업안정법,73,20,7,16,5,4,0,1,83,10,18,10,7,49,14,13,13
집회 및 시위에 관한법률,116,14,2,6,2,8,1,0,30,3,3,19,0,5,2,11,3
청소년보호법,1321,516,399,489,266,317,141,33,1915,324,326,341,346,275,363,653,40
총포·도검·화약류등의 안전관리에 관한법률,97,25,30,20,2,2,3,1,66,10,11,15,13,21,27,17,11
최저임금법,232,61,77,0,40,0,25,0,239,26,11,29,27,24,46,47,0
축산물 위생관리법,51,27,30,27,11,31,2,1,152,17,31,24,25,8,17,40,1
출입국관리법,434,166,76,307,87,27,44,10,1116,852,107,215,95,168,211,279,112
통신비밀 보호법,63,21,14,15,9,17,2,0,50,10,10,10,13,9,13,8,4
특가법(도주차량),113,18,15,26,8,5,1,0,121,21,13,11,25,10,7,10,1
특허법,66,11,1,16,8,13,3,0,71,0,4,22,2,1,6,4,0
폐기물관리법,61,68,45,70,27,16,34,9,675,55,112,107,109,79,255,215,8
풍속영업의 규제에 관한법률,29,7,2,2,0,2,1,0,35,3,0,0,2,0,0,4,0
하천법,3,4,2,0,4,1,4,0,118,16,10,4,26,29,15,30,0
학교보건법,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
학원의 설립운영 및 과외교습에 관한법률,120,19,16,22,5,16,9,3,118,9,7,6,7,13,14,10,15
화물자동차 운수 사업법,597,78,104,158,53,22,42,5,863,36,48,78,32,71,43,68,7
화재로 인한 재해보상과 보험가입에 관한법률,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,40,21,16,24,3,11,6,4,218,26,16,33,24,15,20,36,0
화학물질관리법,182,20,29,28,25,23,5,0,180,17,19,23,15,14,7,49,2
기타특별법,8396,5788,1958,4631,1180,1230,2135,118,11402,1519,1490,2493,4056,6588,3495,4489,689
