범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
근로자 퇴직급여 보장법,3679,982,658,24,488,1,339,0,4535,182,317,612,306,292,431,1157,0
낚시관리 및 육성법,0,1,0,70,0,0,72,0,55,5,0,16,2,92,536,108,34
노동조합 및 노동관계 조정법,97,41,24,4,14,0,55,0,110,21,17,44,35,15,25,26,0
농수산물유통 및 가격안정에 관한법률,7,13,0,2,1,2,0,0,5,0,1,0,0,0,0,2,0
농수산물의 원산지표시에 관한법률,111,200,23,91,2,17,13,6,707,200,201,324,309,388,384,340,2
농지법,6,27,1,29,0,2,6,6,351,20,34,76,37,43,113,90,3
대기환경보전법,303,137,90,142,57,71,65,33,991,67,74,148,127,72,118,228,2
대부업 등의 등록 및 금융이용자 보호에 관한법률,316,202,60,108,18,27,15,3,290,38,48,32,36,32,48,81,32
도로교통법,2735,1103,671,785,225,298,483,79,4522,949,697,975,463,507,1445,1163,165
도로교통법(무면허운전),6833,2015,2162,1934,1078,763,692,58,16364,1851,1777,1118,898,1430,2708,4020,1386
도로교통법(사고후미조치),1751,908,2133,4196,3645,194,1035,44,16081,3241,1426,2660,959,4216,2384,2869,2505
도로교통법(음주운전),19340,12599,8471,9565,6492,5617,2803,452,47771,5275,6678,6354,5929,6871,11884,17260,5332
도로교통법(음주측정거부),301,121,113,133,58,61,45,19,718,118,113,190,119,168,198,236,94
도로법,156,95,74,262,34,34,21,3,829,57,74,85,68,64,148,150,41
도시 및 주거환경 정비법,145,49,16,19,18,0,3,0,86,2,8,5,1,3,1,9,1
독점규제 및 공정거래에 관한법률,23,4,2,1,1,1,0,0,5,0,0,0,0,0,1,1,0
디자인보호법,73,9,19,15,4,8,0,1,67,1,2,0,2,6,3,3,0
마약류 관리에 관한법률(대마),360,89,14,96,11,11,7,0,249,63,12,36,11,5,52,63,8
마약류 관리에 관한법률(마약),42,26,18,56,14,12,9,15,243,108,159,164,39,81,167,149,3
마약류 관리에 관한법률(향정),1638,1091,300,717,94,93,79,5,1337,154,116,186,69,55,149,678,37
물환경보전법,67,917,41,28,57,29,29,3,311,21,33,67,57,19,57,104,2
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,0,1,0,11,0,0,0,0,0,0,0,7,29,193,0,0,46
범죄수익 은닉의 규제 및 처벌 등에 관한법률,65,24,16,15,20,0,20,0,54,2,1,1,8,5,11,17,4
변호사법,245,51,26,39,43,19,24,0,285,11,21,14,30,27,13,33,5
병역법,1890,216,300,645,97,188,25,73,2265,157,147,267,199,116,263,434,35
보조금관리에 관한법률,105,35,17,30,23,27,3,2,189,21,23,61,45,28,17,63,13
부동산 실권리자 명의 등기에 관한법률,69,24,20,29,9,8,5,3,127,30,25,9,18,17,14,40,9
부정경쟁방지 및 영업비밀 보호에 관한법률,148,31,19,22,7,16,2,1,150,5,11,6,5,9,13,32,3
부정수표단속법,596,318,120,115,37,22,7,1,426,44,25,55,8,8,89,54,21
사행행위 등 규제 및 처벌특례법,45,12,15,11,31,67,0,1,57,7,32,45,6,11,17,85,0
산림자원의 조성 및 관리에 관한법률,13,4,9,17,5,7,5,0,118,148,75,86,61,56,198,45,9
산업안전보건법,966,311,308,13,300,3,181,0,1879,351,226,578,347,271,278,426,1
산지관리법,21,14,7,78,9,6,7,7,631,216,302,326,208,198,381,232,6
상표법,1624,373,158,287,61,77,18,9,524,47,47,49,50,31,71,146,15
석유 및 석유대체연료 사업법,41,51,46,28,36,34,14,5,153,30,30,45,234,35,94,68,75
선박안전법,0,29,0,1592,0,0,26,0,11,86,0,13,175,57,13,248,40
선박직원법,0,118,0,14,0,0,19,0,0,4,0,5,12,342,9,67,10
성매매알선 등 행위의 처벌에 관한법률,1828,1210,463,1286,217,384,59,9,2289,105,118,424,713,67,204,867,172
수도법,9,5,0,2,4,6,4,0,107,12,5,4,3,3,5,39,0
수산업법,0,513,0,85,0,0,16,0,71,1099,0,156,203,725,113,1785,56
수산자원관리법,0,182,1,58,0,0,8,0,36,78,0,93,80,546,221,256,25
식품위생법,2019,1073,216,582,236,203,79,20,1850,267,354,524,447,220,222,578,43
신용정보의 이용 및 보호에 관한법률,51,2,2,2,0,0,0,0,2,0,3,0,0,0,2,0,0
아동·청소년의 성보호에 관한법률(성매수등),80,77,69,112,32,47,5,0,175,10,19,13,28,15,15,45,3
아동·청소년의 성보호에 관한법률(음란물등),59,80,41,12,21,35,5,2,96,9,11,15,10,16,47,22,10
아동복지법,512,215,159,188,99,161,115,24,1024,131,118,139,154,156,152,224,78
액화석유가스의 안전관리 및 사업법,4,2,4,1,2,1,0,0,23,1,3,3,22,6,4,21,0
약사법,293,138,42,63,38,37,6,2,248,24,42,47,27,19,49,71,5
여객자동차 운수 사업법,445,33,5,78,13,8,5,1,647,37,16,382,26,8,22,84,17
여신전문 금융업법,647,257,95,80,61,63,16,9,496,38,74,84,50,43,71,148,27
영유아보육법,23,13,8,13,2,4,4,0,71,2,8,12,12,0,13,15,2
예비군법,1921,376,293,539,171,272,120,38,2145,151,206,376,167,224,349,625,112
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,103,57,12,12,6,3,13,2,401,7,5,22,0,7,5,19,13
외국환거래법,309,103,5,288,7,0,0,0,29,1,3,6,4,1,4,1,4
위험물 안전관리법,7,56,24,36,17,20,9,4,219,11,31,65,521,6,26,72,1
유사수신행위의 규제에 관한법률,410,78,32,16,60,21,4,1,103,13,11,25,12,4,10,49,4
의료기기법,201,32,25,53,15,17,1,1,41,1,16,3,2,2,7,2,2
의료법,822,263,101,103,81,63,11,1,679,31,41,63,112,82,78,290,43
자동차관리법,4887,2138,1225,1943,717,377,266,32,7191,876,764,847,726,625,1054,1266,79
자동차 손해배상 보장법,5547,1563,1607,1906,1299,679,515,19,17771,1136,1805,2148,1447,1389,2383,1766,55
자본시장과 금융투자업에 관한법률,249,8,5,4,10,3,0,0,35,2,1,1,1,0,1,8,1
저작권법,4954,1003,405,639,305,632,226,144,2907,241,244,328,270,190,374,892,244
전자금융거래법,1485,543,311,483,164,160,55,10,1239,103,88,167,189,167,432,306,146
전파법,313,36,37,9,24,55,4,0,6,21,18,3,20,16,2,6,0
정보통신망이용촉진 및 정보보호 등에 관한법률,3796,945,455,708,367,353,139,46,3170,351,306,358,353,356,453,1107,126
조세범처벌법,753,170,128,226,89,106,329,13,784,42,102,124,74,116,101,159,42
주민등록법,392,145,132,119,48,45,41,5,456,109,53,44,46,43,47,73,14
주차장법,124,129,0,8,4,2,0,1,26,0,3,0,6,3,10,10,6
주택법,70,35,9,13,5,62,65,10,151,14,31,20,5,6,5,17,12
직업안정법,95,76,12,8,8,10,5,2,98,12,5,8,2,12,15,20,85
집회 및 시위에 관한법률,112,38,9,8,7,6,7,1,19,1,4,12,8,2,11,15,0
청소년보호법,1445,581,421,591,324,297,124,29,2246,306,343,427,324,390,454,659,121
총포·도검·화약류등의 안전관리에 관한법률,10,7,2,2,3,1,0,1,6,1,4,1,3,0,3,4,0
최저임금법,168,73,47,1,27,0,12,0,172,29,13,23,13,17,21,49,0
축산물 위생관리법,173,74,97,82,45,36,493,2,389,23,59,42,34,27,52,94,8
출입국관리법,292,120,61,160,44,22,43,9,795,65,62,195,61,73,149,185,71
통신비밀 보호법,30,15,13,7,7,11,3,2,30,2,5,11,12,7,7,15,1
특가법(도주차량),586,239,374,379,145,100,134,20,1244,126,142,364,235,127,288,268,40
특허법,70,8,6,6,2,6,0,3,75,3,7,6,2,1,7,5,0
폐기물관리법,75,47,43,65,36,24,16,4,573,37,56,76,123,81,186,189,7
풍속영업의 규제에 관한법률,60,21,23,13,1,0,0,0,68,2,0,1,5,3,4,4,0
하천법,5,6,1,0,0,1,5,3,58,24,10,3,25,5,32,34,1
학교보건법,32,34,0,7,0,0,0,0,5,1,0,0,0,0,0,1,2
학원의 설립운영 및 과외교습에 관한법률,130,24,4,27,4,16,1,2,178,5,7,9,21,27,11,43,2
화물자동차 운수 사업법,592,89,100,124,23,33,15,2,832,72,15,39,32,17,38,82,5
화재로 인한 재해보상과 보험가입에 관한법률,0,0,0,0,0,0,0,0,10,0,4,1,0,0,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,5,0,0,0,1,2,0,0,8,0,0,1,4,1,3,0,0
화학물질관리법,243,22,21,20,60,17,3,0,141,6,2,20,5,3,6,108,2
기타특별법,8354,4042,1763,5240,1006,1010,605,118,11033,1800,1303,3356,1834,3678,1962,2516,650
